sentence	source
so one one of the thousand basically so we don't expect the see significant performance impact because of two threads updating this however if our code was different if we had threads which say wanted to update the data structure ten milliseconds out of one hundred million seconds so now there's a one in ten chance that the lock that we asked for is is already in use	['the data structure', 'a struct', 'code', 'thread']
so right now yes we have a small opportunity a chance that our second thread will deadlock how do we fix it by locking on the same mutex because then the only way that you can continue is after the threat has acquired the mutex so another thread will have to wait so now if we do that it becomes impossible to be executing these two lines of code at the same time that these two lines are being executed	['code', 'thread', 'code', 'thread', 'code', 'thread', 'code', 'thread']
so that is a limitation of function here so in fact if i type c w p w for present working directory that internally is using this gets cwd command so there it is actually part of the standard library and we can either pass in some space or we can pass in null and it will allocate it on on the heap	['the heap', 'type', 'the heap', 'type']
so the first thing that jumps out to me is a pattern stroll end of of malaquais hold a moment that is not going to be the night right number of bytes to hold a string i would at least expect this to be ok take the string message and add add one to it ok so what does this code attempting to do here it says hey i've got a pointer to someone elses pointer so let's look at that let's look at that point and if it's not initialized to anything in other words it's just looking at null then our plan will be to change their pointer to look at some knew heat memory	['memory', 'code', 'string', 'pointer']
so the same thing applies for our fault based systems and we are kind of at the lowest level saying hey i want to send a block of data tool for my device so why do we make these same size is my virtual memory is because think back to our virtual memory table where i needed to have a mapping from virtual addresses to physical addresses and the very first thing we did is we took our	['memory', 'block', 'address', 'system']
so the same thing applies for our file based systems and we are kind of at the lowest level saying hey i want to send a block of data to and from my device so why do we make these same size is my virtual memory is because think back to our virtual memory table where i needed to have a mapping from virtual addresses to physical addresses and the very first thing we did is we took our	['memory', 'block', 'address', 'system']
so we could actually think about the state that positions in this state space of possible states my two processes which actually correspond to when things get stuck in other words when do they correspond with circle cycles in my weight for graph and what we would discover is that they all interior points on this particular graph right so if example process one didn't do anything but process two acquired all of the resources and then release them and then process want acquired all of the resources it needed and then release them we've gone around the edges where says if i interleaved my two process process the two processor or thread operations then i'm trying to take a more dangerous path through the middle of this and some of these points i'm going to get stuck at i cannot continue ok so what does the lyrics do does it attempt to kind of look at what states in this state space	['thread', 'resources', 'thread', 'resources']
so we need to be able to get a process that line before we call get line again so we do this for for performance because we don't want to have each time go back to the heap and say hey heap i need some more memory for another line instead could be a lot more quicker to run if we can actually just overwrite the heap memory that we already requested	['heap memory', 'memory', 'the heap', 'a process']
so what we've got then is kind of long hold of the mutex lock inside my enqueue here so my concern is with this same wait what if i have a thread calling nq another those is produced an item wants to queue it up and we call some weight but i don't have any space left inside my data structure here in other words what if s one is zero we might have a problem here because now	['a struct', 'a thread', 'thread', 'a struct', 'a thread', 'thread', 'a struct', 'a thread', 'thread']
so will have some kind of tweaking there to decide some parameter in there to decide what point what's our threshold going to be that we want to create a new block ok right so let's go back and see if we have these questions alright so we talked about block splitting and false presentation and the last question for this little video is our is our implementation using an explicit or implicit link list so this implementation uses an explicit link list meaning that we are throwing pointers around were writing a lot of code that uses memory addresses explicitly we can talk about the memory address of p we cannot talk about members of chosen we could talk about the memory addressing turn to my lock so	['memory', 'block', 'parameter', 'code', 'address', 'pointer']
soapy said mutex lock and as luck would have it i've already got my variables up here ready to go right so let me call peter mutex lock on my mutex there we go so that might block for a short while if someone else is currently acquired the lock which is why a later on we are going to release it	['block', 'block', 'block', 'block']
some weight does not block at all for either thread and both threads were tried to insert at the same time so they both for example might see the same value of in or this plus plus is not atomic so we may not successfully increment the value correctly so we need to make sure that only one third of the time runs out and the perfect answer that it's a mutex ok and similar over here i can't have two threads trying to remove at the same time so if i cared about performance might actually use two different mutex locks here so this is my pthread mutex lock and simply over here i can use a different lock because these actually are going to occur different parts of my data structure so i've actually got two different kinds of concurrency things i'm worried about here one is the size of my buffer and i'm using the the counting semaphores for that and the other is a critical section and i'm using a mutex locks to protect that	['block', 'a struct', 'a mutex', 'section', 'thread']
store error and that gives us a string ok so we'll be seeing that in the actual code that we write also realize that if it returns a non zero value then it means it never actually found as a way to connect and so that result pointer probably hasn't been changed so just assume that it doesn't point to anything valid right ok some other things you need to know so i mentioned ip four or thirty two bit addressing scheme that today if you were to pick up a random packet would discover it's an ip for based packet but we're trying to transition over to a more flexible addressing scheme which is much larger so today we would like to use ip six but is not fully supported by all routers yet so	['code', 'string', 'address', 'pointer']
str error and that gives us a string ok so we'll be seeing that in the actual code that we write also realize that if it returns a non zero value then it means it never actually found us a way to connect and so that result pointer probably hasn't been changed so just assume that it doesn't point to anything valid right ok some other things you need to know so i mentioned ip four our thirty two bit addressing scheme that today if you were to pick up a random packet would discover it's an ipv4 based packet but we're trying to transition over to a more flexible addressing scheme which is much larger so today we would like to use ip six but is not fully supported by all routers yet so	['code', 'string', 'address', 'pointer']
student now smarter than the internet ok so we can prove we can show the circumstances in which deadlock is can occur this actually see if we can actually see that occur if we actually run this code in practice so here's here's the same code that i prepared earlier i wanted to get out of this and go to handouts but code	['code', 'code', 'code', 'code']
that we are in the matrix log so we could reason that we are the only thread that continue to run so great i've got all these other threads running at the same time but my head doesn't need to explode thinking about the possible interleavings of all of these expressions from this thread and another third because we own the mutex lock right and anybody else has to wait until we finished so it simplifies reasoning about this back down to just simple single threaded code again alright so great we've got our push method to work	['code', 'thread', 'code', 'thread', 'code', 'thread']
that we haven't closed resources so this actually security problem that it might work once or twice or ten times but we're leaving a file descriptor open and eventually will run out of spare far descriptors for process and then opening files or calling opened are won't work in the future we don't have any spare file descriptors left ok the other thing that we might comment on if we were doing a code review instead opened a could fail so if this returns null for example there is no current directory 's kind of a little bit bizarre but we could imagine that happens for example someone 's deleted the current direct current directory then this open durcal would return null so we're not actually checking for that ok and by the way in case you didn't notice look we're doing this trick to hear to say ok i know that i've finished reading the current directory when this is called to read returns null that's when i know where there's no more entries left to fight but the biggest idea here is that we didn't clean up ourselves we didn't always release resources so always check your code your system programming code to make sure that in all code paths particularly error code paths you've released resources as soon as you finished using them ok and this will correspond to file descriptors to memory to any other resources to tcp sockets etc etc etc right ok so	['memory', 'code', 'resources', 'system', 'memory', 'code', 'resources', 'system']
that's the purpose of this address of operate say tell me where something is because maybe i want to write something directly into that those memory locations right so that's going to pass in the address of my global and also the value of ten meanwhile there's going to look inside f one because our challenges to work out which one of these lines will actually which one or two or three of these lines will actually print out an address in the stack ok so our first contender is going to actually print out the address of v one what is v one is a parameter of this function ok our second will print out the address of v two and the third book has a typo is fixed that let's make that actually print out v two so we will fix that line ok so let's go in and look at our code here right	['memory', 'parameter', 'code', 'address']
that's where we're going to make our change so we know we just changed it we know that's actually going to be heap memory so into that heap memory we're going to ask a straight copy to copy the following following so in two three four five six seven do we have any characters that let's see one two three four five six seven eight nine ten oh we have a problem we actually going to copy eleven bytes because the zero bytes so if we wanted to make this code work with change this to eleven of course in real code we would actually not hard code this value of figure out how you could use size off in order to avoid this ok so how can we make our code down here actually put this out right so let me kind of show you something that's surprising that we have	['the following', 'heap memory', 'memory', 'code']
the first thing we passed the printf is a format string and so we can do things like percent s or percent d to talk about hey the parameter is going to give you next are going to be a string so here's a pointer and that pointer that i give you i want you to start reading those out as a sequence of bytes or here's a value i want to treat that value and put it out as an integer so forty two for example right and those will appear on the shell or to standard out there other versions of printf which maybe will be useful to you i'll just mention them we're going to do it today but there's asprintf and sprintf which allow you to print the result into memory somewhere and then there's fprintf which allows you to send the result out to a file or some kind of file so it could actually be standard out so if tomorrow i said hey no more fprint for anybody you could immediately turn around and use fprintf instead	['memory', 'parameter', 'printf', 'string', 'pointer']
the first thread thread a could could start up exit and main thread could join on that we could print out an exit before thread b has a chance to start this would be particularly true on sale really busy system or a system that's only got one cpu core are poor threadbear it hasn't had a cpu scheduled yet and so our main thread is done before it he has a chance to start up ok right so all those those as possible if we modified our code so that we included p three exit on the main thread then you know that that means that because we are never returning from maine now our program is going to run until both those threads finish so now we expect both the bc to be printed and the xyz to be printed though we can't actually say definitively what order these two things can print we can make a guess as to which ones more likely but we haven't actually	['code', 'thread', 'system', 'code', 'thread', 'system', 'code', 'thread', 'system']
the last entry is actually a linked list entry have my next pointer and that will be null so if you're writing kind of code very lazily or just wanted short simple demo code we can ignore the fact that it returns multiple entries but if you want to write robust code then realize that there may be more than one way to connect to the server for example perhaps the server offers an ip four address and an ip six address so you might try both you might try one after another or you might create a whole lot of threads and do it asynchronously and see which one actually kinda connect faster ok so let's	['code', 'thread', 'address', 'pointer']
the last entry is actually linked list and trees have my next pointer and that will be no so if you're writing kind of code very lazily or just wanted short simple demo code we can ignore the fact that it returns multiple entries but if you want to write robust code then realize that there may be more than one way to connect to the server for example perhaps the server upper offers an ip four address and an ip six address so you might try both you might try one after another all you might create a whole lot of threads and do it asynchronously and see which one actually kinda connect faster ok so let's	['code', 'thread', 'address', 'pointer']
the number of words and the number of characters as well and if i wish i could actually just say ok only tell me about the number of lines that you see so yeah great we've confirmed that we manage to make a hundred threads and each one of them was responsible for printing out one thing now you might have guessed that my laptop here doesn't actually have a hundred cores so the operating system cheats virtually we can pretend that we have a hundred different cpus running but in reality what happens is that my poor little two or three or four cpus i got inside this machine actually going to be asked to keep changing from one thread to another thread so when a thread makes does something which blocks for example it cause sleep for example it cause read or write and those operations may take a while because there's no data get ready or is unavailable to send the data yet then will assign the cpu	['block', 'a thread', 'thread', 'system']
the race the critical section took one millisecond dirt to run if you're critical section was much smaller than that for example in the code that we've just looked at with the push in the pop or adding another part that might only be orders of say ten microseconds so now the chances of of of threads being inside the critical section is actually slimmer so discovering problems just by testing is hard and that is why we do things like locate don't want it with two threads but when it with four threads now it's much more likely to occur or test it with a brute force loop trying to go into the critical section as often as possible and now you've increased the chances significantly this also applies to the idea of lock contention so lock contention is not a good thing it means that one thread is being forced to wait for another now we did this because we want programs to function correctly	['code', 'section', 'thread', 'code', 'section', 'thread']
the solution we actually describing all the way is called like the base and bound where there's a mapping simple mapping from your virtual memory addresses we add some kind of offset offset that will be the base to get to the actual physical address or inside my ram and then we also put some kind of bound to make sure that addresses inside your process contract pieces of memory that don't don't don't that not your concern not sort of your process alright so this is not a great it's only advantages that was simple describe and also simple to implement in silicon and gives us a little bit of protection between each processor your process can't overwrite my memory well maybe we can do better than that ok so one thing to notice is that actually in my address space over here i've got tons of addresses loads of address numbers which i just don't care about they are not being used right now they're not part of the stack not part of the heap are never need to refer to them and in fact we could even go further and say look this part of my program code like the initialization code that i	['memory', 'the heap', 'code', 'address']
the string associated with a particular error number like one two three four five etc etc etc ok but perhaps you want to know what is actually just gone wrong with your program and so if you want to find out the air associated with a recent system call guess what there is something called ever know urdu there we go so i could say please tell me	['string', 'system', 'string', 'system', 'string', 'system', 'string', 'system', 'string', 'system']
the these string associated with the most recent system ever ok so in fact we could re implement pm so if we needed to write kind of piero ourselves we might do something like the following we might say ok so peer error i just want to print out to standard error	['the following', 'string', 'system', 'the following', 'string', 'system', 'the following', 'string', 'system', 'the following', 'string', 'system', 'the following', 'string', 'system']
the threads i'm joining on has finished as quick and then i can continue so please join can block right meeting that hey the cpu is no it is not going to do anything on my program for potentially along time and in fact the colonel will give that cpu to another thread that would like to run or tell that can't cpu core to shut down and go into low power mode ok so pthread can take a long time right now how do we say if we actually inside a thread hey i'm done i don't want to do anymore ok so for this we need to say i'd like to exit please so : pthread_exit right so the peace road exit is the last thing your thread will ever do there is no return from p thread exit it's done your cpu causes ok i'm going to wash my hands of this thread i know that there's nothing else is going to happen so p thread exit is a one way ticket do not try to execute anymore code after p calling p thread exit right so if i've got my little function let's call it say mine to continue that silly idea at some point i wanted to quit so i would call p thread exit by the way if you return from that function in other words if there's no more stack frames then that is equivalent of calling p thread exit so i might have some code in here this might call other functions called air from that cause g and that cause premier fanatic or something else etc it opens files whatever	['block', 'code', 'a thread', 'thread']
the time between actually testing whether it is null and changing it we don't we don't want to be interrupted during those times there's a second question in here as well however which is how do we generate a character based error message here string called terror former number we're using something called store error i wonder if this is safe to call for multiple threads at the same time and of course one of the reasons that we kind of suspicious about this	['string', 'thread', 'string', 'thread']
then maybe we could call pizza hut conditions signal as well but i would have to be a lot more careful about reasoning about that so i'm going to use p thread condition broadcast just in case there were multiple threads gone to sleep we want to make sure that if we're only going to wake up in that transition that we work them all up so	['thread', 'thread', 'thread', 'thread']
then the bank side my bankers algorithm can ensure that the bank never goes into an overdraft right and never we never allow our process is to continue so that so that there's a possibility that that i would resource i would exhaust the resources for certain type so for example if i have one hundred days and i know that my process two and my process three and so on only ever going to	['type', 'resources', 'type', 'resources']
then you call pthread barrier initiate you pass in one of these type and you say how many threads need to arrive at this barrier before we let them carry on so for example that let's say that i'm going to say write five threads need to arrive at this barrier and when we finished there's also destroy method as usual so how do you say that my thread should wait and is arrived at the barrier easy call pthread barrier wait and at that point your thread will block and it's going to block until in this case for other threads also called p thread barrier wait on the same object on the same barrier right so now i can start holota threads work on my matrix download different files and as each one continues finishes their little task they can call preferred barrier and will know that they will get stuck in there	['block', 'type', 'a thread', 'thread']
there we go so if there happens to be someone sleeping in on this condition variable because that waiting to pop then now they can wake up so we could for performance reasons a little bit more about this and say the only time we need to do this the only possible time that someone could be blocked while popping from this away would be if the value of n was zero so in other words we have just increased it up to one otherwise there's no way that anyone could be sleeping right now so we could weight using about that and we could also reason that we've just added one thing	['block', 'block', 'block', 'block']
there's no possibility of deadlock right now that for every same weight called we call assam post ok right so what if we could have made it a little bit more complicated though and we said that same weight here is going to in order to continue i'm going to wait on this thread and then i'm going to post on some samples to an meanwhile thread two i'm going to wait on counting semaphore two and then i'm going to post on counting semaphore three ok and then some weight three i'm going to then post inseminate one ok if all my counties are forced to started off with a value of zero you can see that no one gets to play that all of my threads have got stuck that my first thread is blocked here waiting for the value for sale wanted change well someone will change down here but unfortunately thread three is blocked waiting for the count for sam three is waiting for pizza slice and were able to get that piece of sliced form it is waiting for sam post to be called by thread two but thread two is not going to give it that pizza slice until it gets a piece of slice out of counting semaphores s two and where will i get that only from thread one when thread one finally called stem post but that's not going to happen because thread what is still waiting for the pizza slice from thread three so now you see we've got this love triangle here between our three threads they'll never going to continue that always waiting for an event that's never going to happen so that's all example of deadlock we can construct lots of these varying bits of complexity usually we don't artificial construct them like this usually were scratching go ahead go why did my system come to a grinding halt and the other thing i want you to notice is that	['block', 'thread', 'system', 'block', 'thread', 'system', 'block', 'thread', 'system', 'block', 'thread', 'system']
there's two useful things you can do you can say ok given some pointers and memory i want to initialize it to be zero to be the empty set of signals and the other thing i want to do is to be able to add a specific signal to this set so again i want to take a pointer to my mask and in this case i'm going to set single arm inside that single set so conceptually we can imagine that is just setting a single bit the one bit that happens to correspond to say sigler inside this integer value ok so once we've set this up we've we've initialized it and then added one alarm where using that to say ok sig block use this mask in other words if i wasn't protected against sell arms hooray i add now i've added it to their processes existing signal block i've also asked to find out what the original mask was so that presumably in a little bit i can reset the mask to what it was before i changed it ok so what should we write down here right so on my p thread call i want to say cig one my options for how i've got block unblock allset mask well it could be that the alarm signal was set before we even started so let's just rather than calling unblock let's call thread sig maggots with saying hey i'm going to give you	['memory', 'block', 'the mask', 'thread', 'pointer']
these guys will set up a little function little handler when that's called asynchronously but we're really limited about what we can do inside that we can't use of any code that calls malloc for example there's a very limited number of system calls that were allowed to use there's even the mutex locks the whole order stuff we just can't use inside our signal handlers why because we've temporarily interrupting our other code and that might be deep inside that other code already in that code is not re enterable so a better way to do this is to actually just have a thread that pulls off the next signal and it just behaves like any normal regular thread so let's see how we can use this here's the big idea is to use	['code', 'a thread', 'thread', 'system']
they prefer to think about units in a decimal system in other words in multiples of a thousand so you the correct way to write this today is to put a little small i after this for example like a kilobyte would mean one thousand bytes or a megabyte so that would be a million bytes as in one zero zero zero zero zero zero bytes however you don't be surprised if i'm the marketing materials the disk manufacturers conveniently forget to write the small i hear also if you're buying a modem we want to talk about bits then if i'm talking about say megabits per second the small b is used to represent bits not bytes so just watch out for those kind of little gotchas there and don't be surprised in the marketing materials if they really if we get to be accurate	['a megabyte', 'system', 'a megabyte', 'system']
this constant this little string so if i was to pause my process i would actually discover the upon running f one there's a memory copy that happens i read from this read only memory that's part of my text segment the actual things i've loaded from disk and i've copied that into the stack so there's one two three four five or six six bytes including the zero bite that have been copied into the stack and blah if i asked him as an address as a pointer would actually be hey i'm beginning of the stack memory where you'll find this this h so as a as an array i cannot change blood to point to other things it is disarray but i can use it as if it's a pointer but the downside however is that in this code but i'm returning blah and i'm returning it as a pointer so great we will find out the address of blob but the contents of that address is no longer about it it was on the stack and that stack value that stagnant is only valid while we were inside f one so that's the kind of common error in beginner c programmers is to accidentally give addresses or variables that are no longer in scope and are no longer valid	['memory', 'code', 'string', 'address', 'pointer']
this is not actual father spain stored on disk it's just the variable and it's the same idea with this this mutex lock its represents a mutex but it's not the attribute x itself ok see what else do you want to say right so you call peter mutex lock and we get to continue great what happens if another thread now calls peter mutex lock on the same object on the same mutex	['a mutex', 'thread', 'a mutex', 'thread']
this other block size up here tells us today about the natural size of blocks for the particular file system so if i'm going to use my read and write calls i probably want to make sure that the number of bytes i'm requesting is some multiple of that or at least that site in order to make sure that i'm efficiently using my file system so that gives me hint about that natural size of read invites	['block', 'system', 'block', 'system']
thread of the time alters our data structure. or if we are modifying a data structure another thread can't read it. ok so let's get started. let's there's a little warm up have a look at some multithreaded code that i've written to download two things at the same time so this is what we got so far here's my main method i'm going to use two p threads today so we can see i've got two thread i ds and when i call pizza hut create i'm going to pass in the address of my two little variables there and i was saying ok p thread please create a thread for me and i wanted to start with my download function that i'm going to pass in a string so my first new thread is going to be given this string and my second youth thread thread is going to get to this this other string so as you can see we're dialed loading some pirate resources from the web right so let's kind of look at my download function here it is so it's going to be given a url and	['a struct', 'code', 'a thread', 'string', 'thread', 'resources', 'address']
thread will go back into peter condition wait and block again so that's what we're doing is we're just say i don't want to repeat any additional logic in here just wake up somebody who might care and simply we need to do that down here where after we've dated the i plus once data structure we better call p thread condition broadcast ok so enough of sketching this out let's actually have a look at some code ok and here is my code you'll see that it's actually littered with a few extra things that now i actually got another thread that is actually going to be displaying what is going on and we can see whether particular i thread has managed to lock mutex locks so if it gets dark inside this moment here it will be stuck on lock	['block', 'a struct', 'code', 'thread']
threads word acquire the left hand lock that was interesting is that right now i'm recording this so one of my cpu cores is busy capturing the lecture content the video content so i was actually surprised that so quickly run into deadlock the other thing that i did to try to make it more likely is i'm using micro sleeps too actually sure that we have an opportunity for deadlock many many many more times in the original provider coded only tested this with sleeps for eight seconds or so over forty second window so opportunity for deadlock is is only handful of times order of ten times or so we would like it to be much higher alright so yes i have i can run it in slow motion let's see how we do that	['code', 'thread', 'code', 'thread', 'code', 'thread', 'code', 'thread']
time to broadcast however this is kind of a optimization it's very easy to get these wrong it's very tricky to start modeling thinking about this when you've got multiple threads which might call pop of multiple threads which might call push gets a little bit easier to think about if you've only got one thread of each kind so my advice is treat these optimizations with extreme caution you're introducing possible edge cases which not easy to discover or think about and so if in doubt	['optimizations', 'thread', 'optimizations', 'thread', 'optimizations', 'thread', 'optimizations', 'thread']
two counting semaphores and will see the s one is initialized to two hundred and fifty six so this smells to me like some kind of capacity counting thing which is going to go down as we started add things and as two is initialized to zero so s two sounds to me like it's going to be counting the number of items in ok let's touch you have a look at the code then for my enqueue and dequeue or nq and deck so i see i'm going to move text lock ok so that's good so that only one thread at the time can be actually inside this code and in fact for this particular implementation is chosen to use the same mutex lock for both the nq in the dequeue ok but i do notice inside this implementation is that normally what do we do normally send post so the same way it happens first and we normally only have the mutex lock that wraps the buffer call as well so yeah	['code', 'thread', 'code', 'thread', 'code', 'thread', 'code', 'thread']
underflow that because we said we've incremented or pizza box by one even though we had actually put anything into the buffer yet right so is underflow possible will actually in this particular implementation no because my dick you cannot complete until the mutex lock is released because it is required before actually touching the buffer if this code tried to be a little bit more performance by giving the nq in the dequeue different mutex locks then we would have run into a problem because then we would have allowed a dq thread to try to read a value from the buffer before we've even put the value in right so better code of course would actually only increment the counting semaphore after we modified the buffer so so this line actually belongs down here so do this later ok and we can do it after we've released a mutex lock ok	['code', 'a mutex', 'thread', 'code', 'a mutex', 'thread', 'code', 'a mutex', 'thread']
update the ui somehow in other words take my array of pixels which is just a big block of memory inside the heap and displayed on the screen so how do i do that i do the following let's take a tape why mask it with the value fifteen so in other words i only care about the lowest four bits and if those lowest four bits are equal to fifteen then display the ui ok so providing my screen size is actually some multiple of sixteen then i'll make sure that i update this every sixteen roads and i also updated at the end if it's not some multiple of sixteen then i should call update gui a one more time before exiting or before finishing right so let's have a look at this this actually have a play with this ok so i've compiled already i've got a little make file here	['the following', 'memory', 'the heap', 'block']
update the ui somehow in other words take my array of pixels which is just a big block of memory inside the heap and displayed on the screen so how do i do that i do the following let's take a tape why mask it with the value fifteen so in other words i only care about the lowest four bits and if those lowest four bits are equal to fifteen then display the ui ok so providing my screen size is actually some multiple of sixteen then i'll make sure that i update this every sixteen rows and i also updated at the end if it's not some multiple of sixteen then i should call update gui a one more time before exiting or before finishing right so let's have a look at this this actually have a play with this ok so i've compiled already i've got a little make file here	['the following', 'memory', 'the heap', 'block']
use that file descriptor again to fill out this truck for me ok so these two do the same thing it's just a witcher matter of convenience as to whether you know the path or already have a file descriptor to an open file there's one other version is as well here which is going to leave a little bit but we're going to find that useful when we start talking about symbolic links so let's have a look at the kind of information that we can get back from stat ok right so the system gives us the following struct we can use and big important idea and we seen this multiple times is that ok we're going to give a pointer to struct so we're going to write things like ok here is a address of say some staff that some struct that we've got on our stack or somewhere else it's only going to fill out memory structure force if stat returns success so it's very important to be able to check that it returns ok so if it doesn't return ok ie zero then you can just assume that that memory structure was never touched in south the values inside that memory structure that is going to be arbitrary wait ok so let's see what we can find out about a file first of all great you can actually find the i node number and notice that all of these fields inside my struct start with the sd which is just short for stat ok we can find out some protection information about it so the	['the following', 'memory', 'address', 'system', 'pointer', 'the following', 'memory', 'address', 'system', 'pointer']
used by the process and also possibly the amount of cpu time that is used in more recently is perhaps the last kind of time segment also process may be running or not perhaps we've temporarily paused it for example we running inside the debugger or we sent it a signal to stop it well we finished so we have a process a state diagram that we can describe how the running status of all processes change then we got things like constraints which is part of our security model to make sure that one process can't take over all of the resources inside our system and you can often modify any of these constraints using you limits so for example we might want to limit the amount of processes we can create for particular user or the amount of memory that our process can have that kind of thing or even the number of file descriptors we also have meta information about whether we care a lot about a particular process or thread we can give them different priorities so if you have a thread whose goal is to keep the steering wheels pointed in the right direction that's probably a pretty high priority thread and it should be given a cpu in priority compared to say something which is going to download an update off the internet	['memory', 'a thread', 'a process', 'thread', 'resources', 'system']
versus rpc what have we seen we've got things like marshalling and that can unmark sling and that can include changing bit representations marshall link there so we've got modifying representations we've got pausing we've got oh yes we've we've got we got to traverse data structures and which potentially involves many cache lines or what you're reading or writing to main memory we've also got ever handling as well so even if we don't take those branches there's a lot of branching code including in this we've got potentially authentication an authorization authorization to do as well so this is authentication authorization session handling so if we discovered that the remote connection is no longer good we might automatically reconnect as well so the complexity of our curls is about a hundred to a thousand lines of code at least compared to a simple local call which is perhaps one expert and i forgot one more thing as heat memory as well we might need to do some memory allocation and deallocation so	['memory', 'memory allocation', 'a struct', 'code']
vitus will win and continue and the others will wake up but then they will see that the somebody writing so they will go back to sleep ok so this is the most performant code but we're pretty confident that we released we always always going to wake up all the writers once we've we've got the active readers out of here so let's type i think about the writers again i could just wake up everybody the code will certainly function like that but the cost but there's a cost there's actually pay for the cost twice because now you're asking this system to signal many many many readers of writers and secondly i think about what all those threads are going to do you've woken them up but they're all going to test their conditions for example is although no writers around and then they just might go back to sleep and so we just wasted cpu time evaluating something that we could have reasoned must be zero	['type', 'code', 'thread', 'system']
wait is that the way we rounded let's check yet the attributes yet and now we need the function pointer the address of my function that likely to start ok so i could just type hello it is actually possible to it ampersand hello and the c compiler just ignores the ten percent so that's hello hello parentheses otherwise you'll be evaluating you'll be calling hello on the main thread and that's not what we want we actually just want the address of a function ok and what would we like to pass into hello	['type', 'thread', 'address', 'pointer']
wanting to touch be but no it's stuck on the outside looking at this box can i really want this but i'm being forced to wait because process one has exclusive access ok so that's the beginnings of a resource allocation graph or rag right and you can see the process to cannot continue right now it doesn't have everything it needs and we can actually say oh look it's stuck because it's waiting for resource be and the reason we can't get it is because process one is still running right so do we have deadlock well no we don't because we can see that process one isn't actually waiting for any resources yeah sure it's being a bit slow and finishing up but there's no reason for it to actually run forever so at some point it's going to finish and when it does so it can release these resources ok so delete that line and we delete that line so we can now see that process too and no longer needs to be waiting for the mystery source be and so we could raise the at and turn that back into a line that's looking at it and say ok great now process to has everything it needs it can continue so if we were writing code you can imagine our call to peter mutex lock has finally completed or access to the reader writer data structures finally given 's ability to read that so great we can continue right so eventually process too because it has all the resources it needs can continue as well we don't care how long it's going to take all we can say is for sure is that there is no deadlock ok so in this case no and no alright so that was an easy one join me in the next video when i look at a more complicated one alright see you then	['a struct', 'code', 'resources', 'a struct', 'code', 'resources']
we could handle that and exit or something right so if there's no no real to memory we better stop otherwise hey let's update our data pointed that key and you'll notice i'm not writing any kind of casting in here so i was some people traditionally like to put casting here 'cause we're changing the type from a void pointer to a double pointer in practice i found i don't like to do that i think it's necessary and be leads to more visual clutter when the most likely mistake is to accidentally request the incorrect amount of memory so i had much more other kind of like this coder stand out where we actually think about the exact number of bytes where we are requesting ok so that's our example use of real ac it's very powerful it can be very fast to change the amount of memory allocated and it's a good little trick to learn so i'll see you in the next video bye	['memory', 'type', 'code', 'pointer']
we go over to main memory you will see he may maybe i need to read the following four bytes please ok we pull that into a cpu register then we invoke the arithmetic logic unit to add one to our register ok so we've recalculated new value and then we take that bit pattern and we throw it back towards memory here you go memory have a new value the adding one is extremely fast writing to main memory is extremely slow compared to what the cpu can do so of course practice we have levels of cash operating but let's	['the following', 'memory', 'the following', 'memory', 'the following', 'memory']
